,Pupil Name,Date of Birth,School Birthday,Month of Birthday,Weekday of Birthday,BDs_per_WD_and_M
92,Friederike Civitillo,6/24/2015,2022-06-24,6,4,30
93,Hayley Rizzini,4/26/2014,2022-04-26,4,1,4
94,Blakelee Monery,12/4/2013,2022-12-02,12,4,48
95,Jacenta Cowton,6/18/2013,2022-06-17,6,4,30
96,Karlyn Westmoreland,6/10/2015,2022-06-10,6,4,30
97,Yancey Bachellier,2/1/2015,2022-02-01,2,1,13
98,Nerte Lissandrini,12/9/2011,2022-12-09,12,4,48
99,Dorolice Crosthwaite,1/6/2015,2022-01-06,1,3,6
100,Brantley Thorley,3/2/2012,2022-03-02,3,2,6
101,Robin Cypler,1/31/2015,2022-01-31,1,0,14
102,Phillie Allsepp,6/29/2012,2022-06-29,6,2,15
103,Toddie Artz,7/9/2013,2022-07-08,7,4,49
104,Marje Antoshin,12/26/2014,2022-12-26,12,0,20
105,Rochella Blazdell,3/31/2015,2022-03-31,3,3,19
106,Aryn Thursfield,2/25/2015,2022-02-25,2,4,31
107,Isaiah Antowski,1/12/2014,2022-01-12,1,2,14
108,Helli Owbridge,8/5/2014,2022-08-05,8,4,24
109,Hadrian Scourgie,3/20/2012,2022-03-18,3,4,31
110,Toddie Nanetti,10/4/2013,2022-10-04,10,1,9
111,Inger Sugar,11/25/2011,2022-11-25,11,4,39
112,Lezlie Meyer,3/19/2015,2022-03-18,3,4,31
113,Rowland Krinks,12/22/2014,2022-12-22,12,3,20
114,Fair Baumber,9/13/2011,2022-09-13,9,1,12
115,Ekaterina Graver,10/17/2013,2022-10-17,10,0,14
116,Farris Spear,3/3/2014,2022-03-03,3,3,19
117,Shanie Croisier,2/9/2014,2022-02-09,2,2,8
118,Fredric Skerme,3/12/2012,2022-03-11,3,4,31
119,Christoph Udall,10/15/2011,2022-10-14,10,4,27
120,Jared Koba,1/15/2012,2022-01-14,1,4,30
121,Lucina Gouley,2/16/2014,2022-02-16,2,2,8
122,Milka Fosbraey,10/30/2011,2022-10-28,10,4,27
123,Iseabal Aldwinckle,3/8/2013,2022-03-08,3,1,13
124,Colet Featherstonehaugh,7/7/2012,2022-07-07,7,3,12
125,Jewelle Skaif,1/19/2015,2022-01-19,1,2,14
126,Brose Plumridge,12/30/2012,2022-12-30,12,4,48
127,Dotty Oldknow,12/22/2013,2022-12-22,12,3,20
128,Stacy Conneely,10/13/2013,2022-10-13,10,3,14
129,Iona Ballister,6/20/2014,2022-06-20,6,0,9
130,Windy Curgenuer,10/28/2013,2022-10-28,10,4,27
131,Kienan Echalie,12/19/2014,2022-12-19,12,0,20
132,Nollie Curley,11/29/2013,2022-11-29,11,1,12
133,Joelle McGrory,6/23/2012,2022-06-23,6,3,12
134,Pooh Schmidt,6/5/2012,2022-06-03,6,4,30
135,Coral Phelipeaux,1/4/2012,2022-01-04,1,1,12
136,Gifford McKeachie,11/21/2014,2022-11-21,11,0,11
137,Orelee Videan,10/5/2013,2022-10-05,10,2,13
138,Toiboid Scamerden,11/5/2013,2022-11-04,11,4,39
139,Shirline Longstaff,7/13/2013,2022-07-13,7,2,19
140,Hurley D'Alessandro,1/16/2014,2022-01-14,1,4,30
141,Orelia Di Domenico,11/7/2014,2022-11-07,11,0,11
142,Glynda O'Corrin,2/14/2013,2022-02-14,2,0,12
143,Bailie Caraher,10/5/2013,2022-10-05,10,2,13
144,Elizabeth Pattenden,6/7/2013,2022-06-07,6,1,11
145,Florian Lardnar,8/4/2014,2022-08-04,8,3,10
146,Chantal Caherny,11/20/2012,2022-11-18,11,4,39
147,Sasha McMenamin,4/23/2012,2022-04-22,4,4,56
148,Ivar Verbeek,12/26/2011,2022-12-26,12,0,20
149,Jamaal Challicombe,4/2/2013,2022-04-01,4,4,56
150,Cello Milnes,3/8/2013,2022-03-08,3,1,13
151,Leese Leinster,11/5/2012,2022-11-04,11,4,39
152,Aleece Bernardet,1/9/2015,2022-01-07,1,4,30
153,Archibaldo Penwell,7/15/2012,2022-07-15,7,4,49
154,Berkly Dodding,10/14/2014,2022-10-14,10,4,27
155,Ynez Stive,5/18/2015,2022-05-18,5,2,8
156,Francene Ebbin,9/16/2012,2022-09-16,9,4,41
157,Ilise Bowring,11/12/2011,2022-11-11,11,4,39
158,Clo Knoton,4/25/2014,2022-04-25,4,0,10
159,Guthrie Valti,5/6/2014,2022-05-06,5,4,30
160,Stacey Whartonby,2/5/2013,2022-02-04,2,4,31
161,Ernesta Siggers,7/4/2015,2022-07-04,7,0,11
162,Denice Espinet,5/5/2013,2022-05-05,5,3,12
163,Antin Luesley,4/17/2012,2022-04-15,4,4,56
164,Alon Brash,9/23/2011,2022-09-23,9,4,41
165,Harlen Penke,8/4/2014,2022-08-04,8,3,10
166,Pyotr Anten,1/6/2012,2022-01-06,1,3,6
167,Sean Skelton,10/3/2011,2022-10-03,10,0,14
168,Cary Johanssen,7/19/2013,2022-07-19,7,1,12
169,Yuri Keywood,11/10/2013,2022-11-10,11,3,13
170,Ronnie Narducci,2/1/2015,2022-02-01,2,1,13
171,Chucho Longmore,4/15/2013,2022-04-15,4,4,56
172,Caleb Kupka,3/15/2014,2022-03-15,3,1,13
173,Robbin Harmant,1/10/2015,2022-01-10,1,0,14
174,Gaylor Shotboult,2/3/2014,2022-02-03,2,3,12
175,Lamont Tolefree,8/17/2012,2022-08-17,8,2,10
176,Wood Upjohn,6/7/2012,2022-06-07,6,1,11
177,Brady Seeds,8/15/2012,2022-08-15,8,0,12
178,Selma Litherborough,3/20/2014,2022-03-18,3,4,31
179,Carly Peasee,7/5/2014,2022-07-05,7,1,12
180,Rose Artinstall,5/29/2014,2022-05-27,5,4,30
181,Hi Oleksiak,6/6/2013,2022-06-06,6,0,9
182,Berti Smardon,3/26/2014,2022-03-25,3,4,31
183,Lorraine Halbard,7/20/2013,2022-07-20,7,2,19
184,Aldis Sherewood,8/21/2013,2022-08-19,8,4,24
185,Rabbi McGourty,6/16/2013,2022-06-16,6,3,12
186,Julietta Layson,5/20/2014,2022-05-20,5,4,30
187,Graehme Ditch,4/7/2015,2022-04-07,4,3,11
188,Benetta Zanussii,7/30/2012,2022-07-29,7,4,49
189,Pandora Seelbach,5/20/2014,2022-05-20,5,4,30
190,Hatty Crotty,9/22/2013,2022-09-22,9,3,14
191,Tessa Pogue,6/23/2015,2022-06-23,6,3,12
192,Grantley Doogan,7/2/2014,2022-07-01,7,4,49
193,Sunny Lanning,12/28/2014,2022-12-28,12,2,9
194,L;urette Applegarth,9/10/2012,2022-09-09,9,4,41
195,Wendy Oscroft,1/3/2015,2022-01-03,1,0,14
196,Ev Baldack,4/23/2015,2022-04-22,4,4,56
197,Jania Pesek,4/8/2012,2022-04-08,4,4,56
198,Kelley Shenton,12/31/2012,2022-12-30,12,4,48
199,Doralynne Sekulla,3/14/2015,2022-03-14,3,0,8
200,Price Harrald,3/30/2013,2022-03-30,3,2,6
201,Allen Welburn,11/5/2014,2022-11-04,11,4,39
202,Merwin Doag,4/29/2015,2022-04-29,4,4,56
203,Jeannette Symonds,10/23/2012,2022-10-21,10,4,27
204,Valaree Heckner,4/30/2012,2022-04-29,4,4,56
205,Gussie Palmar,5/21/2014,2022-05-20,5,4,30
206,Yehudi Beggan,10/19/2013,2022-10-19,10,2,13
207,Drusilla Tuson,10/14/2014,2022-10-14,10,4,27
208,Alanah Dowtry,8/25/2014,2022-08-25,8,3,10
209,Kathlin Cobleigh,2/26/2015,2022-02-25,2,4,31
210,Layne Curston,12/29/2013,2022-12-29,12,3,20
211,Idell Shropshire,5/2/2015,2022-05-02,5,0,7
212,Kimbra Whelan,10/25/2013,2022-10-25,10,1,9
213,Nadean Godsell,2/27/2013,2022-02-25,2,4,31
214,Katinka Liger,1/25/2013,2022-01-25,1,1,12
215,Fallon Kettles,6/24/2013,2022-06-24,6,4,30
216,Tally Powland,7/2/2015,2022-07-01,7,4,49
217,Nolan Jerosch,10/31/2014,2022-10-31,10,0,14
218,Viva Yukhnini,12/4/2011,2022-12-02,12,4,48
219,Nevile Jurewicz,3/25/2014,2022-03-25,3,4,31
220,Brand Kaes,3/24/2014,2022-03-24,3,3,19
221,Celine De la Yglesia,1/13/2012,2022-01-13,1,3,6
222,Adrian Snary,7/22/2013,2022-07-22,7,4,49
223,Anny Casterot,1/26/2015,2022-01-26,1,2,14
224,Jacques Cosins,2/1/2012,2022-02-01,2,1,13
225,Lauretta Greenhalf,9/8/2013,2022-09-08,9,3,14
226,Ettie Condie,10/23/2012,2022-10-21,10,4,27
227,Tailor Fellows,7/26/2012,2022-07-26,7,1,12
228,Iago Szimon,8/31/2014,2022-08-31,8,2,10
229,Howard Kittow,4/9/2014,2022-04-08,4,4,56
230,Smith Okenden,12/31/2012,2022-12-30,12,4,48
231,West Kibby,11/20/2013,2022-11-18,11,4,39
232,Perren Randalston,9/3/2013,2022-09-02,9,4,41
233,Garnette Chiese,3/28/2014,2022-03-28,3,0,8
234,Mace Huntingdon,5/17/2012,2022-05-17,5,1,15
235,Konstantine Parysowna,6/1/2015,2022-06-01,6,2,15
236,Cristina Oseman,3/28/2012,2022-03-28,3,0,8
237,Finley McClements,8/18/2013,2022-08-18,8,3,10
238,Vic Barends,9/24/2014,2022-09-23,9,4,41
239,Bartholomew Coyle,10/14/2011,2022-10-14,10,4,27
240,Krystal Dunlea,5/29/2012,2022-05-27,5,4,30
241,Mireielle Lundy,7/19/2014,2022-07-19,7,1,12
242,Sharla Almond,11/16/2011,2022-11-16,11,2,17
243,Sibeal Templeton,7/22/2012,2022-07-22,7,4,49
244,Pearce Clayworth,3/19/2012,2022-03-18,3,4,31
245,Sheelah Greder,11/29/2012,2022-11-29,11,1,12
246,Joly Wybrow,1/8/2015,2022-01-07,1,4,30
247,Bondon Antonazzi,2/9/2012,2022-02-09,2,2,8
248,Gwen Biglin,1/18/2012,2022-01-18,1,1,12
249,Kip Blowen,7/19/2015,2022-07-19,7,1,12
250,Moises Orrocks,11/30/2012,2022-11-30,11,2,17
251,Norbie Shoveller,12/18/2012,2022-12-16,12,4,48
252,Matty Piperley,6/14/2014,2022-06-14,6,1,11
253,Wileen Scamadine,2/15/2015,2022-02-15,2,1,13
254,Armstrong Batiste,4/15/2012,2022-04-15,4,4,56
255,Daisey Blanning,11/27/2012,2022-11-25,11,4,39
256,Jammal Ouchterlony,2/24/2015,2022-02-24,2,3,12
257,Cynthea Whittier,11/4/2014,2022-11-04,11,4,39
258,Templeton Reynard,12/19/2014,2022-12-19,12,0,20
259,Baron Sarre,12/30/2014,2022-12-30,12,4,48
260,Rex Adds,12/26/2014,2022-12-26,12,0,20
261,Oberon Pollie,9/22/2011,2022-09-22,9,3,14
262,Dorita Messitt,3/17/2015,2022-03-17,3,3,19
263,Floria Kitlee,7/6/2012,2022-07-06,7,2,19
264,James Bartles,1/12/2012,2022-01-12,1,2,14
265,Jay Yashaev,1/31/2013,2022-01-31,1,0,14
266,Leshia Sanderson,9/27/2013,2022-09-27,9,1,12
267,Tiffy Glanz,6/15/2015,2022-06-15,6,2,15
268,Kizzie Dod,10/5/2014,2022-10-05,10,2,13
269,Madlen Lethardy,3/18/2014,2022-03-18,3,4,31
270,Estella Brende,2/16/2014,2022-02-16,2,2,8
271,Grover Barstock,8/15/2013,2022-08-15,8,0,12
272,Amalee Marquiss,12/15/2011,2022-12-15,12,3,20
273,Megan Blyth,4/22/2012,2022-04-22,4,4,56
274,Willette Fibbit,12/2/2013,2022-12-02,12,4,48
275,Calida Dymond,8/11/2015,2022-08-11,8,3,10
276,Aharon Ricardin,3/2/2013,2022-03-02,3,2,6
277,Maurits Petyanin,12/25/2013,2022-12-23,12,4,48
278,Ermanno Polglaze,8/24/2013,2022-08-24,8,2,10
279,Ancell Borrel,4/24/2012,2022-04-22,4,4,56
280,Keven Latchford,9/5/2013,2022-09-05,9,0,7
281,Rona Hammill,10/25/2011,2022-10-25,10,1,9
282,Evita Sirett,3/13/2014,2022-03-11,3,4,31
283,Lorry Sarle,5/29/2015,2022-05-27,5,4,30
284,Kate Fannon,2/27/2014,2022-02-25,2,4,31
285,Paulina Vale,11/23/2014,2022-11-23,11,2,17
286,Earl Kelleway,11/6/2013,2022-11-04,11,4,39
287,Culver Daburn,5/11/2014,2022-05-11,5,2,8
288,Antonie Worcester,2/15/2015,2022-02-15,2,1,13
289,Magda Cullrford,2/4/2012,2022-02-04,2,4,31
290,Jeremiah Diack,4/27/2012,2022-04-27,4,2,12
291,Lynett Dibdin,6/8/2012,2022-06-08,6,2,15
292,Trace Neenan,9/20/2011,2022-09-20,9,1,12
293,Miran Gowans,1/8/2015,2022-01-07,1,4,30
294,Orsa Orrey,7/30/2015,2022-07-29,7,4,49
295,Gillie Bermingham,6/23/2014,2022-06-23,6,3,12
296,Mikaela Madgwick,12/5/2012,2022-12-05,12,0,20
297,Maximo Greenin,4/7/2013,2022-04-07,4,3,11
298,Daron Fellis,5/11/2013,2022-05-11,5,2,8
299,Dorothea Haselwood,4/23/2014,2022-04-22,4,4,56
300,Pernell Howgego,11/25/2013,2022-11-25,11,4,39
301,Jaimie Bebbell,3/22/2013,2022-03-22,3,1,13
302,Rici Dohms,4/9/2013,2022-04-08,4,4,56
303,Oralla Braffington,9/1/2011,2022-09-01,9,3,14
304,Elisa Whiteley,9/5/2014,2022-09-05,9,0,7
305,Emalia Kynson,5/15/2015,2022-05-13,5,4,30
306,Kakalina Standbrook,7/23/2012,2022-07-22,7,4,49
307,Billy Dionis,12/12/2013,2022-12-12,12,0,20
308,Kit Fishbourn,4/1/2014,2022-04-01,4,4,56
309,Sayer Romain,4/11/2014,2022-04-11,4,0,10
310,Welby Dymott,4/15/2012,2022-04-15,4,4,56
311,Darci Brozsset,12/31/2012,2022-12-30,12,4,48
312,Emelyne Pierro,8/14/2012,2022-08-12,8,4,24
313,Afton Ninotti,12/16/2013,2022-12-16,12,4,48
314,Sofie Duinbleton,8/28/2015,2022-08-26,8,4,24
315,Franciskus Brittles,1/25/2013,2022-01-25,1,1,12
316,Darline Glandon,9/11/2013,2022-09-09,9,4,41
317,Adara Beringer,9/1/2011,2022-09-01,9,3,14
318,Maddie Kennard,4/15/2015,2022-04-15,4,4,56
319,Bobbe Rangall,1/22/2015,2022-01-21,1,4,30
320,Osgood Darnborough,7/20/2013,2022-07-20,7,2,19
321,Cory Shackle,7/31/2012,2022-07-29,7,4,49
322,Denna Bulluck,10/20/2011,2022-10-20,10,3,14
323,Jocelin Slora,9/11/2012,2022-09-09,9,4,41
324,Woodman Cockman,12/9/2012,2022-12-09,12,4,48
325,Wain Jime,12/20/2011,2022-12-20,12,1,8
326,Twila Bradmore,10/1/2014,2022-09-30,9,4,41
327,Marcus Lemery,11/26/2012,2022-11-25,11,4,39
328,Alia Whayman,7/6/2015,2022-07-06,7,2,19
329,Maximilien Shipcott,10/20/2014,2022-10-20,10,3,14
330,Robina Exroll,6/1/2015,2022-06-01,6,2,15
331,Walt De Ferraris,3/31/2012,2022-03-31,3,3,19
332,Alf Stiff,10/4/2014,2022-10-04,10,1,9
333,Vernon Yateman,2/12/2012,2022-02-11,2,4,31
334,Von Kearton,6/23/2015,2022-06-23,6,3,12
335,Dacie Hunnam,5/16/2014,2022-05-16,5,0,7
336,Silvie Lepere,2/24/2012,2022-02-24,2,3,12
337,Thorpe Trudgion,7/8/2015,2022-07-08,7,4,49
338,Lucais Hyrons,11/11/2013,2022-11-11,11,4,39
339,Matthieu Hoyer,9/4/2012,2022-09-02,9,4,41
340,Reine Djorvic,12/8/2013,2022-12-08,12,3,20
341,Saree Farquhar,3/28/2013,2022-03-28,3,0,8
342,Sallyann Tawse,7/10/2014,2022-07-08,7,4,49
343,Victor Stonham,1/25/2013,2022-01-25,1,1,12
344,Corella Thumnel,5/14/2015,2022-05-13,5,4,30
345,Andy Philipard,6/12/2015,2022-06-10,6,4,30
346,Idette Bande,5/4/2014,2022-05-04,5,2,8
347,Allyn Wheldon,12/21/2014,2022-12-21,12,2,9
348,Leslie Rontree,7/17/2013,2022-07-15,7,4,49
349,Bibbie Bortolomei,11/14/2012,2022-11-14,11,0,11
350,Bartolemo Cleave,2/12/2013,2022-02-11,2,4,31
351,Korry Leirmonth,2/10/2012,2022-02-10,2,3,12
352,Aridatha Bonicelli,11/3/2011,2022-11-03,11,3,13
353,Twila Grinley,12/3/2013,2022-12-02,12,4,48
354,Lettie Pennyman,7/19/2012,2022-07-19,7,1,12
355,Blake MacIlhargy,8/21/2014,2022-08-19,8,4,24
356,Daniele McCloy,7/11/2013,2022-07-11,7,0,11
357,Felizio Weinmann,11/29/2011,2022-11-29,11,1,12
358,Ilsa Tettley,9/11/2013,2022-09-09,9,4,41
359,Ardyce Meriton,7/23/2012,2022-07-22,7,4,49
360,Shandee Scard,11/21/2014,2022-11-21,11,0,11
361,Cristionna Hegden,7/3/2015,2022-07-01,7,4,49
362,Mignonne Dumsday,5/29/2015,2022-05-27,5,4,30
363,Raynell Behneke,12/24/2014,2022-12-23,12,4,48
364,Adina Gawthorpe,2/15/2013,2022-02-15,2,1,13
365,Sheff De Andreis,10/12/2013,2022-10-12,10,2,13
366,Mab Canepe,12/11/2011,2022-12-09,12,4,48
367,Dynah Petrillo,8/16/2013,2022-08-16,8,1,15
368,Leroi Crumpe,5/6/2012,2022-05-06,5,4,30
369,Lynnett Gierardi,12/13/2013,2022-12-13,12,1,8
370,Winny Scoggans,3/29/2012,2022-03-29,3,1,13
371,Shirlene Palluschek,6/10/2012,2022-06-10,6,4,30
372,Zarah Symington,1/1/2012,2021-12-31,12,4,48
373,Bernete Westoff,10/2/2014,2022-09-30,9,4,41
374,Marlowe Daniell,3/3/2014,2022-03-03,3,3,19
375,Berkly Stanett,3/27/2015,2022-03-25,3,4,31
376,Dominga Peat,2/15/2014,2022-02-15,2,1,13
377,Karlotte Vaudre,10/3/2011,2022-10-03,10,0,14
378,Carmelina Ashbridge,9/8/2012,2022-09-08,9,3,14
379,Ricardo Barmby,11/20/2014,2022-11-18,11,4,39
380,Alyson Lindsell,7/6/2012,2022-07-06,7,2,19
381,Valentine McPherson,3/4/2012,2022-03-04,3,4,31
382,Analiese Bliven,11/7/2013,2022-11-07,11,0,11
383,Nathanial Matczak,8/27/2013,2022-08-26,8,4,24
384,Lanny Alyukin,11/10/2012,2022-11-10,11,3,13
385,Emmott Barnaby,11/5/2014,2022-11-04,11,4,39
386,Trudey Skarman,6/5/2014,2022-06-03,6,4,30
387,Daloris Skillicorn,12/9/2013,2022-12-09,12,4,48
388,Ranna Eagland,8/29/2013,2022-08-29,8,0,12
389,Amitie McGairl,2/12/2015,2022-02-11,2,4,31
390,Karissa Dickon,12/3/2012,2022-12-02,12,4,48
391,Laural Hexum,9/6/2012,2022-09-06,9,1,12
392,Quinlan Franckton,12/26/2014,2022-12-26,12,0,20
393,Anissa Semerad,1/10/2013,2022-01-10,1,0,14
394,Aland Ashlee,7/13/2012,2022-07-13,7,2,19
395,Chickie Asch,12/12/2012,2022-12-12,12,0,20
396,Linda Haberjam,10/6/2011,2022-10-06,10,3,14
397,Ad Falco,7/17/2013,2022-07-15,7,4,49
398,Care Reihill,5/3/2013,2022-05-03,5,1,15
399,Odelia Bayston,12/19/2011,2022-12-19,12,0,20
400,Tedi Nekrews,3/3/2013,2022-03-03,3,3,19
401,Adore Rowan,4/30/2012,2022-04-29,4,4,56
402,Thorn Blencowe,2/19/2014,2022-02-18,2,4,31
403,Prudy Duetsche,8/1/2015,2022-08-01,8,0,12
404,Ariana Shearmer,4/20/2015,2022-04-20,4,2,12
405,Karoline Gash,6/6/2012,2022-06-06,6,0,9
406,Liam Sings,12/15/2012,2022-12-15,12,3,20
407,Denise Huckleby,10/1/2012,2022-09-30,9,4,41
408,Truda Welband,1/4/2014,2022-01-04,1,1,12
409,Kelcey Dragonette,6/23/2012,2022-06-23,6,3,12
410,Bridgette Hachard,5/21/2012,2022-05-20,5,4,30
411,Joy Brobeck,3/10/2013,2022-03-10,3,3,19
412,Kimbra Yuille,3/13/2013,2022-03-11,3,4,31
413,Harold Dunckley,1/17/2014,2022-01-17,1,0,14
414,Tabbie Edgar,10/2/2011,2022-09-30,9,4,41
415,Nataniel Capinetti,8/23/2012,2022-08-23,8,1,15
416,Aldus Lindro,10/21/2011,2022-10-21,10,4,27
417,Shaylah Bottle,7/6/2014,2022-07-06,7,2,19
418,Pammie Maxweell,11/11/2013,2022-11-11,11,4,39
419,Ericka Ebourne,2/28/2012,2022-02-28,2,0,12
420,Trstram Macci,4/16/2013,2022-04-15,4,4,56
421,Malory Jonk,4/10/2012,2022-04-08,4,4,56
422,Jammal Reubens,5/28/2012,2022-05-27,5,4,30
423,Ramsay Wither,6/14/2012,2022-06-14,6,1,11
424,Yoshiko Dies,3/11/2013,2022-03-11,3,4,31
425,Nicky Rawes,2/13/2012,2022-02-11,2,4,31
426,Bourke Upson,10/10/2011,2022-10-10,10,0,14
427,Bernetta Barkaway,1/23/2013,2022-01-21,1,4,30
428,Cynthie Marthen,8/26/2014,2022-08-26,8,4,24
429,Patricio Meakin,11/17/2012,2022-11-17,11,3,13
430,Ivonne World,10/6/2011,2022-10-06,10,3,14
431,Joey McJury,3/24/2012,2022-03-24,3,3,19
432,Tammie Alabone,12/8/2013,2022-12-08,12,3,20
433,Emmie Laba,4/7/2013,2022-04-07,4,3,11
434,Blinny Upwood,3/15/2013,2022-03-15,3,1,13
435,Carmine Budd,5/3/2012,2022-05-03,5,1,15
436,Walker Capron,8/30/2015,2022-08-30,8,1,15
437,Hollyanne Tomaszewicz,5/3/2014,2022-05-03,5,1,15
438,Johna Kordova,11/29/2012,2022-11-29,11,1,12
439,Brit Craze,12/29/2012,2022-12-29,12,3,20
440,Babs Swaysland,4/21/2013,2022-04-21,4,3,11
441,Ronica Proppers,3/7/2015,2022-03-07,3,0,8
442,Sasha Corsor,8/9/2013,2022-08-09,8,1,15
443,Grethel Husset,8/7/2015,2022-08-05,8,4,24
