,Account Number,Transaction Date,Value,Current Balance
1940,13997603,2023-02-05,,551.51
1955,14000447,2023-02-05,,541.73
1970,14014401,2023-02-05,,554.46
1985,14039438,2023-02-05,35.3,495.69
2000,14045416,2023-02-05,,343.43999999999994
2015,14052052,2023-02-05,-89.52,826.22
2030,14086187,2023-02-05,-98.2,1106.01
2045,14103210,2023-02-05,,257.13
2060,14136082,2023-02-05,,918.75
2075,14144267,2023-02-05,,97.69
2090,14183437,2023-02-05,,813.47
2105,14253152,2023-02-05,,14.000000000000009
2120,14337606,2023-02-05,,428.38
2135,14355869,2023-02-05,,-1115.65
2150,14397662,2023-02-05,,425.39
2165,14421453,2023-02-05,,824.95
2180,14448009,2023-02-05,,-352.8700000000001
2195,14505806,2023-02-05,,1663.65
2210,14564252,2023-02-05,,130.39
2225,14592080,2023-02-05,99.57,95.73999999999998
2240,14594928,2023-02-05,,325.32
2255,14600288,2023-02-05,110.92,577.8
2270,14648004,2023-02-05,-16.24,408.62
2285,14685853,2023-02-05,,11.909999999999997
2300,14723713,2023-02-05,,378.07
2315,14749214,2023-02-05,,243.86
2330,14780986,2023-02-05,,450.43
2345,14812157,2023-02-05,,1045.56
2360,14840078,2023-02-05,62.37,528.29
2375,14866733,2023-02-05,,256.92
2390,14897645,2023-02-05,,202.69
2405,14907946,2023-02-05,,912.09
2420,15033812,2023-02-05,,504.58
2435,15044055,2023-02-05,,298.08000000000004
2450,15052808,2023-02-05,,1722.15
2465,15055504,2023-02-05,-170.82,169.12
2480,15077298,2023-02-05,,273.77000000000004
2495,15100785,2023-02-05,54.49,1014.2
2510,15163829,2023-02-05,,578.79
2525,15258886,2023-02-05,-155.76,408.72
2540,15265650,2023-02-05,-98.03,50.51999999999998
2555,15265700,2023-02-05,,843.34
2570,15290238,2023-02-05,,118.06
2585,15296624,2023-02-05,,592.77
2600,15324178,2023-02-05,91.78,925.4
2615,15334737,2023-02-05,,414.46
2630,15377274,2023-02-05,,778.0
2645,15428008,2023-02-05,,131.02
2660,15468532,2023-02-05,,638.7
2675,15522788,2023-02-05,-23.13,337.9
2690,15529292,2023-02-05,,265.35
2705,15563919,2023-02-05,65.68,688.3199999999999
2720,15665459,2023-02-05,67.95,596.78
2735,15668160,2023-02-05,179.02,989.04
2750,15732629,2023-02-05,78.82,883.3699999999999
2765,15768459,2023-02-05,,799.3399999999999
2780,15779976,2023-02-05,,8.249999999999986
2795,15793232,2023-02-05,1580.8,1505.98
2810,15796180,2023-02-05,,755.58
2825,15801209,2023-02-05,-45.42,-731.8799999999999
2840,15805500,2023-02-05,,401.18
2855,15810455,2023-02-05,,81.69
2870,15826579,2023-02-05,,-351.43000000000006
2885,15830962,2023-02-05,,621.31
2900,15841031,2023-02-05,-61.09,518.89
2915,15899774,2023-02-05,,773.38
2930,15914466,2023-02-05,,436.62
2945,15918861,2023-02-05,,882.5600000000001
2960,15922706,2023-02-05,,688.5899999999999
2975,15944303,2023-02-05,-108.31,869.1300000000001
2990,15960008,2023-02-05,,455.42
3005,15980710,2023-02-05,,1212.14
3020,16013218,2023-02-05,,406.52
3035,16026987,2023-02-05,,732.0600000000001
3050,16030234,2023-02-05,,-107.57999999999998
3065,16063411,2023-02-05,,896.73
3080,16067516,2023-02-05,,494.33
3095,16087504,2023-02-05,,347.91
3110,16093178,2023-02-05,57.87,132.68
3125,16118153,2023-02-05,-95.68,906.91
3140,16124993,2023-02-05,25.75,173.89
3155,16152779,2023-02-05,,330.4100000000001
3170,16157014,2023-02-05,,881.71
3185,16181964,2023-02-05,,808.6
3200,16191280,2023-02-05,,1513.33
3215,16223952,2023-02-05,1174.8,1594.62
3230,16229373,2023-02-05,161.01,-809.9599999999999
3245,16270746,2023-02-05,,954.15
3260,16306280,2023-02-05,,1061.34
3275,16312979,2023-02-05,47.51,823.5899999999999
3290,16334793,2023-02-05,,171.63
3305,16453812,2023-02-05,,420.16
3320,16506904,2023-02-05,,620.53
3335,16584745,2023-02-05,-62.34,39.82000000000001
3350,16628269,2023-02-05,143.79,273.66
3365,16633794,2023-02-05,,338.89
3380,16676577,2023-02-05,,406.95
3395,16927652,2023-02-05,122.62,899.94
3410,16977372,2023-02-05,,494.39
3425,16984772,2023-02-05,-368.87,1805.76
3440,17024652,2023-02-05,,1020.23
3455,17039422,2023-02-05,,658.02
3470,17051223,2023-02-05,,558.16
3485,17085651,2023-02-05,119.48,1064.99
3500,17138963,2023-02-05,110.72,-1258.03
3515,17144855,2023-02-05,,684.24
3530,17191420,2023-02-05,,749.91
3545,17228160,2023-02-05,303.21,1486.9
3560,17264146,2023-02-05,,345.33
3575,17284705,2023-02-05,,-140.70000000000002
3590,17301178,2023-02-05,,344.1
3605,17434670,2023-02-05,44.51,93.92999999999998
3620,17469776,2023-02-05,-5.719999999999999,437.46
3635,17483941,2023-02-05,-161.01,396.99
3650,17533114,2023-02-05,-94.53,179.99999999999997
3665,17534364,2023-02-05,-120.48,637.93
3680,17543122,2023-02-05,-366.94,266.3
3695,17644586,2023-02-05,,300.9
3710,17648252,2023-02-05,106.7,257.62000000000006
3725,17669623,2023-02-05,142.97,306.16
3740,17692892,2023-02-05,,391.11
3755,17722231,2023-02-05,,899.6
3770,17749893,2023-02-05,,922.03
3785,17810734,2023-02-05,,348.22
3800,17840180,2023-02-05,,682.66
3815,17868317,2023-02-05,,533.8000000000001
3830,17881363,2023-02-05,125.17,452.02
3845,17925406,2023-02-05,,502.58
3860,17933377,2023-02-05,,284.32
3875,17938672,2023-02-05,,914.06
3890,17939571,2023-02-05,,465.56
3905,17983851,2023-02-05,,1978.49
3920,18046225,2023-02-05,,109.32
3935,18052851,2023-02-05,,494.58
3950,18095448,2023-02-05,92.4,161.01
3965,18133554,2023-02-05,,449.99
3980,18179400,2023-02-05,,787.4
3995,18185362,2023-02-05,,615.54
4010,18198770,2023-02-05,,331.26
4025,18305932,2023-02-05,,834.42
4040,18308848,2023-02-05,,570.65
4055,18346988,2023-02-05,,-154.23000000000002
4070,18348734,2023-02-05,,-517.85
4085,18447548,2023-02-05,,673.65
4100,18451683,2023-02-05,8.960000000000008,770.15
4115,18517970,2023-02-05,,470.53
4130,18563743,2023-02-05,,684.2800000000001
4145,18582171,2023-02-05,122.01,745.14
4160,18584434,2023-02-05,-44.0,635.0999999999999
4175,18645136,2023-02-05,-2.25,983.14
4190,18685463,2023-02-05,,476.02
4205,18718399,2023-02-05,,836.1800000000001
4220,18850031,2023-02-05,301.9,594.19
4235,18859451,2023-02-05,,-28.25999999999999
4250,18899132,2023-02-05,-69.58,174.88
4265,18928638,2023-02-05,,-204.23
4280,19001745,2023-02-05,,639.51
4295,19094015,2023-02-05,,398.98
4310,19154395,2023-02-05,159.55,1063.77
4325,19160862,2023-02-05,,101.15
4340,19201987,2023-02-05,,462.8
4355,19216744,2023-02-05,,203.39
4370,19220216,2023-02-05,36.980000000000004,567.71
4385,19242274,2023-02-05,,74.69999999999999
4400,19283264,2023-02-05,,301.31
4415,19315124,2023-02-05,,447.16
4430,19317267,2023-02-05,,-61.38
4445,19334563,2023-02-05,,-249.15
4460,19387921,2023-02-05,,964.65
4475,19429964,2023-02-05,200.2,1115.4
4490,19432211,2023-02-05,,14.280000000000005
4505,19524427,2023-02-05,,-193.64
4520,19530097,2023-02-05,44.78,1004.99
4535,19559937,2023-02-05,-114.03,2027.35
4550,19574610,2023-02-05,815.7,1064.51
4565,19647966,2023-02-05,176.88,1026.77
4580,19686460,2023-02-05,,1235.1
4595,19705767,2023-02-05,,863.26
4610,19789505,2023-02-05,,1980.35
4625,19836996,2023-02-05,,525.1800000000001
4640,19876635,2023-02-05,,457.05
4655,19920990,2023-02-05,,-74.18999999999998
4670,19931073,2023-02-05,,404.96
4685,19956941,2023-02-05,-173.68,1671.25
4700,19980716,2023-02-05,,1933.12
4715,20015298,2023-02-05,,1112.33
4730,20067958,2023-02-05,,38.05
4745,20090784,2023-02-05,,1759.0500000000002
4760,20117480,2023-02-05,,-15.710000000000008
4775,20129535,2023-02-05,172.62,762.8800000000001
4790,20176338,2023-02-05,171.21,173.81000000000003
4805,20242626,2023-02-05,,786.5600000000001
4820,20248053,2023-02-05,,725.38
4835,20263437,2023-02-05,-140.75,789.6500000000001
4850,20280759,2023-02-05,,661.96
4865,20287993,2023-02-05,,1355.51
4880,20316429,2023-02-05,,602.9200000000001
4895,20345467,2023-02-05,115.08,794.87
4910,20369153,2023-02-05,-144.17,568.9
4925,20372310,2023-02-05,37.59000000000002,280.20000000000005
4940,20413037,2023-02-05,,120.77
4955,20425065,2023-02-05,,638.24
4970,20464830,2023-02-05,,136.16000000000005
4985,20632572,2023-02-05,,266.33
5000,20704613,2023-02-05,,168.7
5015,20705548,2023-02-05,,2537.46
5030,20720894,2023-02-05,,243.42
5045,20838578,2023-02-05,,620.7
5060,20849721,2023-02-05,,740.52
5075,20851460,2023-02-05,,1056.47
5090,20878023,2023-02-05,,498.99000000000007
5105,20908067,2023-02-05,179.9,787.43
5120,20991411,2023-02-05,,572.64
5135,20992354,2023-02-05,,129.05
5150,21001872,2023-02-05,,31.76
5165,21032760,2023-02-05,,74.95000000000005
5180,21047777,2023-02-05,-128.94,641.8
5195,21142911,2023-02-05,,454.4
5210,21293955,2023-02-05,1110.7,1343.58
5225,21314767,2023-02-05,,273.9
5240,21368735,2023-02-05,-49.85,-733.72
5255,21392412,2023-02-05,,1899.33
5270,21464772,2023-02-05,,801.7099999999999
5285,21475060,2023-02-05,,354.98
5300,21515934,2023-02-05,,733.04
5315,21550631,2023-02-05,,22.14
5330,21558805,2023-02-05,2160.7,2815.74
5345,21601747,2023-02-05,,352.44
5360,21618665,2023-02-05,-78.37,4.809999999999945
5375,21646418,2023-02-05,,1032.98
5390,21655728,2023-02-05,,761.31
5405,21675999,2023-02-05,,404.19
5420,21694967,2023-02-05,,593.1999999999999
5435,21705004,2023-02-05,,496.88
5450,21711501,2023-02-05,,-1755.6800000000003
5465,21716351,2023-02-05,219.27,1132.13
5480,21719977,2023-02-05,138.9,897.7099999999999
5495,21728352,2023-02-05,,762.41
5510,21749252,2023-02-05,,658.68
5525,21750371,2023-02-05,-88.55,240.64
5540,21816770,2023-02-05,74.16,1034.5
5555,21844169,2023-02-05,,321.19
5570,21844651,2023-02-05,,712.04
5585,21881168,2023-02-05,,746.72
5600,21898016,2023-02-05,,117.42
5615,21918195,2023-02-05,,389.4
5630,21966927,2023-02-05,75.94,675.33
5645,22027757,2023-02-05,-505.0,-403.49
5660,22035411,2023-02-05,,1198.4
5675,22054113,2023-02-05,,389.89
5690,22063978,2023-02-05,,-417.24
5705,22099256,2023-02-05,,304.85
5720,22137086,2023-02-05,-115.53,2417.52
5735,22268314,2023-02-05,-65.31,-72.63999999999999
5750,22292682,2023-02-05,-42.68000000000001,701.2
5765,22298371,2023-02-05,-219.27,564.7099999999999
5780,22341160,2023-02-05,,-638.8299999999999
5795,22374612,2023-02-05,-1110.7,-510.0600000000002
5810,22391508,2023-02-05,,198.32
5825,22393008,2023-02-05,,753.5
5840,22403299,2023-02-05,-57.79,1312.92
5855,22404690,2023-02-05,,726.06
5870,22412680,2023-02-05,,470.59
5885,22483300,2023-02-05,-52.34,710.89
5900,22683382,2023-02-05,,926.42
5915,22696687,2023-02-05,,286.52
5930,22730750,2023-02-05,128.78,540.77
5945,22799719,2023-02-05,,398.99
5960,22830156,2023-02-05,,1120.76
5975,22833010,2023-02-05,,315.55999999999995
5990,22846221,2023-02-05,,1795.5
6005,22884864,2023-02-05,-122.01,508.37
6020,22888798,2023-02-05,39.31,365.71
6035,22951653,2023-02-05,,613.87
6050,23030554,2023-02-05,,345.92
6065,23032852,2023-02-05,,1383.65
6080,23045208,2023-02-05,,-1530.77
6095,23093541,2023-02-05,-207.07,63.28000000000003
6110,23124345,2023-02-05,,936.97
6125,23141588,2023-02-05,,-1543.02
6140,23231848,2023-02-05,,-1922.1600000000003
6155,23269253,2023-02-05,,1224.36
6170,23271383,2023-02-05,174.13,706.01
6185,23289647,2023-02-05,,579.66
6200,23295106,2023-02-05,,605.9100000000001
6215,23310842,2023-02-05,-123.30999999999999,-129.55999999999997
6230,23321929,2023-02-05,,531.8100000000001
6245,23325248,2023-02-05,,-88.28
6260,23333877,2023-02-05,,525.23
6275,23369902,2023-02-05,283.32,1130.02
6290,23415061,2023-02-05,,1638.7700000000002
6305,23445508,2023-02-05,,428.0
6320,23479459,2023-02-05,-4.9199999999999875,175.13
6335,23490922,2023-02-05,,934.35
6350,23498368,2023-02-05,,576.05
6365,23501735,2023-02-05,,562.17
6380,23580422,2023-02-05,,716.05
6395,23698615,2023-02-05,114.48,520.33
6410,23736501,2023-02-05,,865.5899999999999
6425,23775829,2023-02-05,,834.26
6440,23815822,2023-02-05,-110.97,2509.49
6455,23865100,2023-02-05,-140.22,8.360000000000014
6470,23920423,2023-02-05,32.839999999999996,132.99
6485,23931414,2023-02-05,,94.63
6500,23932793,2023-02-05,,962.8
6515,23935849,2023-02-05,,888.11
6530,23942646,2023-02-05,,496.28
6545,23959928,2023-02-05,,2444.75
6560,23962863,2023-02-05,171.75,-700.3899999999999
6575,23971753,2023-02-05,,111.18000000000002
6590,24010877,2023-02-05,-154.98,516.09
6605,24051672,2023-02-05,,-13.019999999999982
6620,24076677,2023-02-05,,474.87
6635,24085667,2023-02-05,,287.3
6650,24113784,2023-02-05,,-1768.44
6665,24122572,2023-02-05,,1368.71
6680,24123707,2023-02-05,,447.95
6695,24125563,2023-02-05,,1006.61
6710,24149353,2023-02-05,,595.77
6725,24150990,2023-02-05,-84.05,480.26
6740,24178466,2023-02-05,,330.91
6755,24184530,2023-02-05,,-45.46
6770,24198488,2023-02-05,311.53999999999996,720.9100000000001
6785,24250015,2023-02-05,,725.0500000000001
6800,24285988,2023-02-05,963.3,1847.39
6815,24298516,2023-02-05,,871.49
6830,24299977,2023-02-05,,9.590000000000003
6845,24308337,2023-02-05,,-324.88
6860,24370240,2023-02-05,,675.97
6875,24382889,2023-02-05,,82.99000000000001
6890,24406166,2023-02-05,,746.97
6905,24434457,2023-02-05,,2513.7000000000003
6920,24462859,2023-02-05,,838.6
6935,24510213,2023-02-05,,142.59
6950,24513968,2023-02-05,,1472.9900000000002
6965,24516638,2023-02-05,,345.3
6980,24519138,2023-02-05,,53.93
6995,24529850,2023-02-05,,905.86
7010,24531428,2023-02-05,,484.71
7025,24533829,2023-02-05,,129.02
7040,24533935,2023-02-05,,795.3100000000001
7055,24539679,2023-02-05,58.5,1754.99
7070,24577383,2023-02-05,,1000.06
7085,24638469,2023-02-05,,758.38
7100,24669065,2023-02-05,,574.3
7115,24715803,2023-02-05,,684.75
7130,24725325,2023-02-05,,539.4
7145,24796881,2023-02-05,,943.93
7160,24826358,2023-02-05,,923.46
7175,24849103,2023-02-05,-174.13,19.54000000000002
7190,24859951,2023-02-05,,950.69
7205,24860683,2023-02-05,,868.75
7220,24976861,2023-02-05,,1067.19
7235,24999129,2023-02-05,173.68,744.54
7250,25004339,2023-02-05,158.89,227.4
7265,25006771,2023-02-05,,2997.95
7280,25033680,2023-02-05,,-306.52
7295,25099734,2023-02-05,193.92,606.5999999999999
7310,25110012,2023-02-05,,403.38
7325,25133996,2023-02-05,,446.46
7340,25146667,2023-02-05,,-296.59000000000003
7355,25240031,2023-02-05,,786.3699999999999
7370,25269707,2023-02-05,,660.58
7385,25281513,2023-02-05,-99.57,597.42
7400,25310962,2023-02-05,-134.95,281.99
7415,25318205,2023-02-05,,442.39
7430,25406407,2023-02-05,-226.81,64.57999999999998
7445,25412464,2023-02-05,-90.59,407.4
7460,25439304,2023-02-05,-159.54,604.1400000000001
7475,25504032,2023-02-05,,601.51
7490,25510430,2023-02-05,,195.14
7505,25522226,2023-02-05,,1931.72
7520,25584693,2023-02-05,,793.42
7535,25596483,2023-02-05,80.23,515.48
7550,25628234,2023-02-05,,773.67
7565,25636885,2023-02-05,,1187.99
7580,25677428,2023-02-05,,251.09
7595,25678043,2023-02-05,,49.06
7610,25698177,2023-02-05,,1067.24
7625,25710768,2023-02-05,,968.16
7640,25737886,2023-02-05,196.0,728.73
7655,25746852,2023-02-05,,143.04
7670,25768265,2023-02-05,,-1199.98
7685,25779398,2023-02-05,-100.05,799.16
7700,25787771,2023-02-05,,621.3
7715,25807378,2023-02-05,,-95.53
7730,25893329,2023-02-05,,211.58
7745,25931435,2023-02-05,,57.56
7760,25939481,2023-02-05,-101.46,507.43
7775,25941557,2023-02-05,-37.99,-323.9899999999999
7790,26008806,2023-02-05,-47.18000000000001,817.46
7805,26023976,2023-02-05,,771.8299999999999
7820,26070761,2023-02-05,,641.67
7835,26087369,2023-02-05,,474.94000000000005
7850,26101648,2023-02-05,,184.65
7865,26102798,2023-02-05,-113.1,-336.5
7880,26109213,2023-02-05,1288.1699999999998,400.54
7895,26115121,2023-02-05,,526.49
7910,26118463,2023-02-05,,1003.51
7925,26248782,2023-02-05,,-59.64999999999999
7940,26375186,2023-02-05,,804.02
7955,26432558,2023-02-05,,708.39
7970,26506201,2023-02-05,116.25999999999999,708.96
7985,26522255,2023-02-05,,226.83
8000,26528251,2023-02-05,,539.97
8015,26632358,2023-02-05,,809.36
8030,26643616,2023-02-05,-160.91,52.26000000000005
8045,26669001,2023-02-05,,147.38
8060,26675311,2023-02-05,,874.25
8075,26751921,2023-02-05,,800.07
8090,26791907,2023-02-05,,139.81
8105,26793058,2023-02-05,20.17,449.74
8120,26863880,2023-02-05,-203.82,614.6500000000001
8135,26874415,2023-02-05,216.76,-1534.32
8150,26884718,2023-02-05,,1182.15
8165,26888158,2023-02-05,-1022.3,-494.17
8180,26893181,2023-02-05,,226.00999999999988
8195,26906533,2023-02-05,46.239999999999995,358.82
8210,26907311,2023-02-05,-1091.79,-249.0999999999999
8225,26953669,2023-02-05,,1322.91
8240,26958171,2023-02-05,9.05,729.99
8255,26964507,2023-02-05,,358.72
8270,26979446,2023-02-05,,382.4500000000001
8285,26985042,2023-02-05,,256.22
8300,27010847,2023-02-05,-298.3,-442.59
8315,27108454,2023-02-05,,545.91
8330,27117946,2023-02-05,20.31,362.34
8345,27170424,2023-02-05,,60.870000000000005
8360,27193025,2023-02-05,118.39,276.25
8375,27193470,2023-02-05,,434.64
8390,27203821,2023-02-05,,-609.53
8405,27264533,2023-02-05,,349.57
8420,27305999,2023-02-05,,-284.97
8435,27334998,2023-02-05,99.46,916.74
8450,27356852,2023-02-05,-116.94,811.64
8465,27357010,2023-02-05,,459.03
8480,27382109,2023-02-05,-858.4,-619.97
8495,27388260,2023-02-05,,177.33999999999995
8510,27389680,2023-02-05,18.13,1161.41
8525,27415805,2023-02-05,,851.5
8540,27430568,2023-02-05,,-602.7499999999998
8555,27580272,2023-02-05,,468.56
8570,27582893,2023-02-05,-105.33,159.73000000000002
8585,27585212,2023-02-05,,49.5
8600,27589482,2023-02-05,,599.42
8615,27596004,2023-02-05,,1704.1
8630,27600956,2023-02-05,-104.27,13.810000000000002
8645,27625709,2023-02-05,,505.96
8660,27628187,2023-02-05,,-40.45999999999998
8675,27713909,2023-02-05,,279.02
8690,27806002,2023-02-05,,565.08
8705,27821800,2023-02-05,,322.23
8720,27845045,2023-02-05,,217.81
8735,27870202,2023-02-05,,397.21
8750,27985160,2023-02-05,,-297.99000000000007
8765,28053942,2023-02-05,-960.48,-2843.58
8780,28063272,2023-02-05,,407.98
8795,28142099,2023-02-05,,420.86
8810,28222331,2023-02-05,,343.03
8825,28240243,2023-02-05,,728.6300000000001
8840,28247818,2023-02-05,65.92,291.68
8855,28251857,2023-02-05,-117.29,1811.22
8870,28254911,2023-02-05,,1570.48
8885,28362321,2023-02-05,76.11,848.38
8900,28380949,2023-02-05,-141.36,-806.5799999999999
8915,28429440,2023-02-05,-471.4,-76.25999999999999
8930,28548067,2023-02-05,100.87,632.24
8945,28553155,2023-02-05,134.95,44.00999999999996
8960,28572979,2023-02-05,,1122.39
8975,28595197,2023-02-05,,264.78
8990,28606808,2023-02-05,,-40.17
9005,28629966,2023-02-05,108.31,247.38
9020,28640713,2023-02-05,-128.65,-89.21000000000001
9035,28652960,2023-02-05,,404.86
9050,28659160,2023-02-05,,-384.77
9065,28680375,2023-02-05,,421.85
9080,28696496,2023-02-05,,208.8
9095,28738041,2023-02-05,,858.9599999999999
9110,28743137,2023-02-05,,662.58
9125,28745450,2023-02-05,,321.2
9140,28754062,2023-02-05,,16.41
9155,28781155,2023-02-05,,654.89
9170,28811285,2023-02-05,,500.43
9185,28819175,2023-02-05,,454.05
9200,28822117,2023-02-05,1022.3,1128.35
9215,28909144,2023-02-05,-66.8,262.56000000000006
9230,28911002,2023-02-05,,1860.73
9245,28969443,2023-02-05,,12.77
9260,28976546,2023-02-05,59.2,384.62
9275,29000698,2023-02-05,,954.02
9290,29017229,2023-02-05,,2288.27
9305,29039134,2023-02-05,115.1,333.36
9320,29043142,2023-02-05,,210.89
9335,29052260,2023-02-05,89.52,861.52
9350,29061354,2023-02-05,2.25,182.72
9365,29074095,2023-02-05,,-324.71000000000004
9380,29222005,2023-02-05,-229.05,-130.17999999999998
9395,29238925,2023-02-05,,577.2600000000001
9410,29288598,2023-02-05,,503.75
9425,29303323,2023-02-05,,551.1500000000001
9440,29358670,2023-02-05,,967.8
9455,29422349,2023-02-05,,623.61
9470,29464742,2023-02-05,,643.4200000000001
9485,29473763,2023-02-05,-80.66,644.1600000000001
9500,29489865,2023-02-05,,744.87
9515,29523226,2023-02-05,27.420000000000016,957.64
9530,29527534,2023-02-05,,331.99
9545,29608056,2023-02-05,,204.42
9560,29631870,2023-02-05,,1905.93
9575,29638033,2023-02-05,,-3360.96
9590,29639626,2023-02-05,135.88,1008.93
9605,29705419,2023-02-05,,202.14
9620,29878790,2023-02-05,,360.74
9635,29887258,2023-02-05,103.8,496.71
9650,29920698,2023-02-05,-1475.4,-568.5600000000001
9665,29958061,2023-02-05,,468.97
9680,30030650,2023-02-05,,414.27
9695,30058030,2023-02-05,,77.57
9710,30093672,2023-02-05,62.74,1124.34
9725,30110747,2023-02-05,,663.6800000000001
9740,30112323,2023-02-05,,509.55
9755,30196319,2023-02-05,,689.01
9770,30227774,2023-02-05,46.86,494.41
9785,30235398,2023-02-05,,906.51
9800,30237685,2023-02-05,,751.93
9815,30279114,2023-02-05,,863.54
